feature,n,mean,std,min,q25,median,q75,max,feature_type,gram_group,nt_number,is_ecoli,expected_correlation_with_pMIC
pMIC,104,1.8979423076923077,0.478080117324524,0.78,1.52975,2.0415,2.16425,2.955,observed_response,,,False,
Akkermansia muciniphila (NT5021),104,0.15265752743177402,0.1447807121560157,0.007824432104825974,0.0740728136152029,0.1265428364276886,0.1831987462937832,0.8268061280250549,strain_probability,negative,NT5021,False,positive
Bacteroides caccae (NT5050),104,0.2910641545447736,0.1778731678356943,0.014946208335459232,0.1728072389960289,0.2604221850633621,0.35899618268013,0.9426648616790771,strain_probability,negative,NT5050,False,positive
Bacteroides fragilis (ET) (NT5033),104,0.24465484568813387,0.17807027181179994,0.011345609091222286,0.12858270481228828,0.20246226340532303,0.299435555934906,0.9173157215118408,strain_probability,negative,NT5033,False,positive
Bacteroides fragilis (NT) (NT5003),104,0.24935403101755163,0.21223730438332264,0.012670335359871387,0.11571113020181656,0.19109973311424255,0.2757885530591011,0.9530713558197021,strain_probability,negative,NT5003,False,positive
Bacteroides ovatus (NT5054),104,0.2739123429279201,0.16130851527610607,0.017785629257559776,0.1630290523171425,0.24393897503614426,0.3508663475513458,0.8514422178268433,strain_probability,negative,NT5054,False,positive
Bacteroides thetaiotaomicron (NT5004),104,0.1730678031901614,0.12602519386434807,0.015647659078240395,0.11232985928654671,0.14629323035478592,0.2016492784023285,0.7784674763679504,strain_probability,negative,NT5004,False,positive
Bacteroides uniformis (NT5002),104,0.27288468083581674,0.19228081498100932,0.012670974247157574,0.15102004259824753,0.22856136411428452,0.31501054018735886,0.9663934111595154,strain_probability,negative,NT5002,False,positive
Bacteroides vulgatus (NT5001),104,0.30597543694938606,0.19384391170285928,0.018101628869771957,0.18571588397026062,0.2670988291501999,0.3650299981236458,0.9750007390975952,strain_probability,negative,NT5001,False,positive
Bacteroides xylanisolvens (NT5064),104,0.12634231401786494,0.10303027460031307,0.012534492649137974,0.06394933350384235,0.10424032434821129,0.15190701186656952,0.6521853804588318,strain_probability,negative,NT5064,False,positive
Bifidobacterium adolescentis (NT5022),104,0.24913443589153197,0.20572261509054207,0.018757494166493416,0.12393433973193169,0.2003641352057457,0.2702936977148056,0.966378390789032,strain_probability,positive,NT5022,False,positive
Bifidobacterium longum (NT5028),104,0.5210205334095428,0.19751689948462747,0.056768473237752914,0.392120786011219,0.5553379356861115,0.6558513790369034,0.9618064761161804,strain_probability,positive,NT5028,False,positive
