feature,n,pearson_r,pearson_p,pearson_q,pearson_ci95_low,pearson_ci95_high,spearman_rho,spearman_p,spearman_q,spearman_ci95_low,spearman_ci95_high,kendall_tau,kendall_p,kendall_q,feature_type,gram_group,nt_number,is_ecoli,expected_correlation_with_pMIC,directional_pearson_r,directional_spearman_rho,direction_matches_expected,rank_by_directional_spearman,rank_by_abs_spearman
Eubacterium rectale (NT5009),104,0.41953508981705206,9.29135453146851e-06,0.0003995282448531459,0.25893394877039877,0.5618414362602706,0.4792130134312167,2.656049273471544e-07,1.142101187592764e-05,0.31197727543570797,0.6191973962744038,0.33087118537144433,6.727531978809256e-07,2.89283875088798e-05,strain_probability,positive,NT5009,False,positive,0.41953508981705206,0.4792130134312167,True,1,1
Eggerthella lenta (NT5024),104,0.24117317235391125,0.01365216259455082,0.19568099718856177,0.08407919331532787,0.4024496906691035,0.33192495082465234,0.0005769977855145512,0.012405452388562851,0.1560716730661851,0.49071277145698944,0.2309926025628794,0.0005222471978499618,0.011228314753774178,strain_probability,positive,NT5024,False,positive,0.24117317235391125,0.33192495082465234,True,2,2
Akkermansia muciniphila (NT5021),104,0.18122890004982833,0.06560412547706679,0.47016289925231197,0.02386797393071603,0.3605797660053856,0.31430415793865574,0.0011568783532252742,0.016581923062895597,0.1212935666453415,0.4785019697540494,0.21490728772854126,0.0012487404331118473,0.017898612874603145,strain_probability,negative,NT5021,False,positive,0.18122890004982833,0.31430415793865574,True,3,3
Escherichia coli ED1a (NT5078),104,0.05893005066395563,0.5523621309423213,0.8190197113972351,-0.08396077329964861,0.20031370952177746,0.28853181448353915,0.0029747075688399795,0.03197810636502978,0.08966425282788881,0.4629632294131699,0.19582935618083785,0.0032716309096216607,0.03368162934324565,strain_probability,negative,NT5078,True,positive,0.05893005066395563,0.28853181448353915,True,4,4
Bifidobacterium longum (NT5028),104,0.40624194436689776,1.878798284015649e-05,0.00040394163106336454,0.23032106650340095,0.5637745992672238,0.28204471664842806,0.0037236276078722666,0.032023197427701496,0.08415254990169319,0.453500886143807,0.1920885852891313,0.003916468528284378,0.03368162934324565,strain_probability,positive,NT5028,False,positive,0.40624194436689776,0.28204471664842806,True,5,5
Bacteroides thetaiotaomicron (NT5004),104,0.13427217788972917,0.17417019356024405,0.5805650934747494,-0.024710275649029497,0.3023250946505795,0.272842213551745,0.00507553619909736,0.03637467609353108,0.07907582060407223,0.45375728444179525,0.170766191206404,0.010329782203792992,0.07403010579384978,strain_probability,negative,NT5004,False,positive,0.13427217788972917,0.272842213551745,True,6,6
Parabacteroides merdae (NT5071),104,0.19723615113168133,0.04476335017552426,0.3849648115095087,0.029862947007781197,0.35493222903682664,0.23104951253179404,0.01828487033505384,0.11232134634390216,0.029322190699262684,0.40819918117291887,0.15916980144211368,0.016828486315448466,0.10337498736632629,strain_probability,negative,NT5071,False,positive,0.19723615113168133,0.23104951253179404,True,7,7
Eubacterium eligens (NT5075),104,0.207604250080142,0.03445851277583055,0.3704290123401784,0.028232322133687142,0.3740247773181839,0.19930221054433836,0.04252725065912608,0.20318575314915793,0.013589991225611867,0.37180150203671103,0.13784740735938636,0.03843257962184458,0.2065751154674146,strain_probability,positive,NT5075,False,positive,0.207604250080142,0.19930221054433836,True,8,9
Bacteroides caccae (NT5050),104,0.14322391967573594,0.1469360974511677,0.5805650934747494,-0.044477957733793885,0.3120768850780785,0.1776109771581856,0.07126862576150406,0.3064550907744674,-0.014842149259377789,0.35773434826492445,0.12251024670338947,0.06578651144286425,0.2828819992043163,strain_probability,negative,NT5050,False,positive,0.14322391967573594,0.1776109771581856,True,9,10
Escherichia coli IAI1 (NT5077),104,0.011637648509979151,0.9066613558294598,0.9758147325104721,-0.11946565991259002,0.1587630397482533,0.16266824604293384,0.09897243895065465,0.35614117082067787,-0.04070238496897374,0.3639556272561115,0.11315831947412312,0.08923875300103296,0.3197721982537014,strain_probability,negative,NT5077,True,positive,0.011637648509979151,0.16266824604293384,True,10,11
Lactobacillus paracasei (NT5042),104,0.1544508003450627,0.11747327912624003,0.5805650934747494,-0.024139368838741435,0.3133129568504256,0.16247085901999048,0.09938823371739847,0.35614117082067787,-0.017872235280248457,0.3388449364748516,0.11615093618748837,0.08109449638195797,0.31700575858401747,strain_probability,positive,NT5042,False,positive,0.1544508003450627,0.16247085901999048,True,11,12
Clostridium ramosum (NT5006),104,0.01862778307866128,0.8511219045020013,0.9758147325104721,-0.14092462149931168,0.17745577721889683,0.14902186753782345,0.13109268930042545,0.4026418314227353,-0.04526662504225399,0.33458191935526116,0.1049286235123687,0.11506444833619994,0.38059779065050753,strain_probability,positive,NT5006,False,positive,0.01862778307866128,0.14902186753782345,True,12,14
Roseburia hominis (NT5079),104,0.13156729015800345,0.18308798748002594,0.5805650934747494,-0.05492083727814198,0.3132491671826826,0.13727467228049237,0.16465017345609084,0.40440599105643754,-0.04739572506474032,0.3299825531464022,0.09856931299646758,0.13878590906279706,0.39055041287087144,strain_probability,positive,NT5079,False,positive,0.13156729015800345,0.13727467228049237,True,13,16
Bacteroides ovatus (NT5054),104,0.10110355481827733,0.30715214174092487,0.6980266749188124,-0.09024206805073501,0.3026676256010909,0.13054750914720692,0.1865352212255006,0.422158658562975,-0.038898398129717064,0.2997315246489477,0.09221000248056645,0.16610679354546243,0.39172381753214075,strain_probability,negative,NT5054,False,positive,0.10110355481827733,0.13054750914720692,True,14,19
Parabacteroides distasonis (NT5074),104,0.09260479290934001,0.349796387034715,0.6980266749188124,-0.08830805089495504,0.2781162706833616,0.1134761990548093,0.2513992830343932,0.49137132593085936,-0.10103876016887267,0.3040172101420827,0.07500245637871632,0.2599974788500353,0.5081768904796145,strain_probability,negative,NT5074,False,positive,0.09260479290934001,0.1134761990548093,True,15,22
apscore_gnegative,104,0.10627840226842093,0.2829229194959021,0.6980266749188124,-0.06218893050217426,0.26255041611113866,0.08910156911350783,0.3684025048660592,0.6600544878850227,-0.11391331775029462,0.26373164307483443,0.06789499168447387,0.3078915333061284,0.5709593485563865,aggregate_apscore,negative,,False,positive,0.10627840226842093,0.08910156911350783,True,16,24
Bacteroides vulgatus (NT5001),104,0.04648266521251524,0.6393869058395629,0.8514480305060002,-0.13997450152657503,0.2242133497796934,0.08378812384724907,0.39775609571321746,0.6649070374137582,-0.12225173789974281,0.27445032162198246,0.06639868332779125,0.31867498524077387,0.5709593485563865,strain_probability,negative,NT5001,False,positive,0.04648266521251524,0.08378812384724907,True,17,25
Streptococcus parasanguinis (NT5072),104,0.06630163049083013,0.5036799024462603,0.7817181333020247,-0.10858177951465542,0.2290460427746381,0.07873608301678016,0.4269140462890826,0.6649070374137582,-0.10632441697257483,0.2628654134715775,0.05891714154437815,0.3762506770005024,0.6013716412643404,strain_probability,positive,NT5072,False,positive,0.06630163049083013,0.07873608301678016,True,18,27
Clostridium difficile (NT5083),104,0.011531601292523376,0.90750811632121,0.9758147325104721,-0.12167584478406684,0.13412178591614643,0.07741839126902322,0.4347161012136258,0.6649070374137582,-0.1086824773153235,0.2532047808714429,0.040961441264186715,0.5384460931862276,0.701611575969933,strain_probability,positive,NT5083,False,positive,0.011531601292523376,0.07741839126902322,True,19,28
Bacteroides fragilis (ET) (NT5033),104,0.06547498907397725,0.509025761219923,0.7817181333020247,-0.1265464439619514,0.24528353190278868,0.07513510354416503,0.44842567639532527,0.6649070374137582,-0.10661240980455854,0.26047420853198494,0.05742083318769553,0.3884928114217515,0.6013716412643404,strain_probability,negative,NT5033,False,positive,0.06547498907397725,0.07513510354416503,True,20,29
apscore_total,104,0.08818606325960725,0.3733631051891322,0.6980266749188124,-0.09084783497393424,0.24528281676955516,0.062347625328078436,0.529512115671015,0.7115319054329263,-0.1354388055632769,0.2533938006001331,0.054054139385159634,0.416910755112759,0.6181780162016771,aggregate_apscore,all,,False,positive,0.08818606325960725,0.062347625328078436,True,21,32
Bacteroides uniformis (NT5002),104,0.023059338231434724,0.8162671731835073,0.9758147325104721,-0.1449956252901098,0.18908585704126055,0.05903472421327252,0.551655264911595,0.7188235270060177,-0.12161618273957886,0.237357431010388,0.04769482886925851,0.47381388989208795,0.6554783191166033,strain_probability,negative,NT5002,False,positive,0.023059338231434724,0.05903472421327252,True,22,33
Roseburia intestinalis (NT5011),104,0.04425932408490798,0.6555092521797562,0.8514480305060002,-0.16316743988824947,0.2397444486029757,0.04594849807056897,0.6432454442849623,0.7683209473403716,-0.15625423073900374,0.24131405487150268,0.033105822391602965,0.6190566647162774,0.7489182162513839,strain_probability,positive,NT5011,False,positive,0.04425932408490798,0.04594849807056897,True,23,36
Prevotella copri (NT5019),104,0.041839461889233084,0.6732379776093954,0.8514480305060002,-0.1284051798157231,0.20986661685871208,0.039199995799668035,0.6927813553441914,0.8051242778324387,-0.14272299814419612,0.22939527350527653,0.03535028492662689,0.5954912755845263,0.7489182162513839,strain_probability,negative,NT5019,False,positive,0.041839461889233084,0.039199995799668035,True,24,37
