feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,file
apscore_total,114,0.05278381134397874,0.5770117220744255,-0.15557027109703858,0.0983696297107433,-0.11738219117742477,0.06411847449543387,tylosin_seed_amine_products_with_mole_predictions.csv
apscore_gnegative,114,0.06571301005402357,0.48727970551154254,-0.14069407402486073,0.13541525563125525,-0.1071345395666972,0.09107982748746965,tylosin_seed_amine_products_with_mole_predictions.csv
apscore_gpositive,114,0.03710535088288942,0.6950983765885606,-0.17320056945129672,0.06535096686635064,-0.13073519176110007,0.03921163377619986,tylosin_seed_amine_products_with_mole_predictions.csv
ginhib_total,114,0.1107557931057212,0.24074406485902206,-0.010082919724322447,0.9152075661985147,-0.01455764353468607,0.832449329853356,tylosin_seed_amine_products_with_mole_predictions.csv
ginhib_gnegative,114,0.139755818171578,0.13806710503983827,0.030228406765302293,0.7495239624963586,0.02030803292506728,0.7735578814081995,tylosin_seed_amine_products_with_mole_predictions.csv
ginhib_gpositive,114,0.03434043025134839,0.7168127837827989,-0.08942698318487037,0.3440498133108446,-0.07333848100640412,0.32032111264810104,tylosin_seed_amine_products_with_mole_predictions.csv
broad_spectrum,114,,,,,,,tylosin_seed_amine_products_with_mole_predictions.csv
apscore_total,114,-0.515723812491245,4.304577603186976e-09,-0.4521707785813095,4.4099324674169096e-07,-0.3276143166459871,2.377005895811293e-07,tylvalosin_seed_amine_products_with_mole_predictions.csv
apscore_gnegative,114,-0.44135011866808654,8.870508907084906e-07,-0.3936015746987166,1.4748544912862779e-05,-0.28351836123012913,7.761496204538014e-06,tylvalosin_seed_amine_products_with_mole_predictions.csv
apscore_gpositive,114,-0.5676878127193437,4.505775033743819e-11,-0.4810564408515987,6.040149467090565e-08,-0.35307817822415866,2.5656035433611236e-08,tylvalosin_seed_amine_products_with_mole_predictions.csv
ginhib_total,114,-0.39933068069461086,1.0763694707113667e-05,-0.3621394308771519,7.519037295606644e-05,-0.2741761685500134,5.872951088998635e-05,tylvalosin_seed_amine_products_with_mole_predictions.csv
ginhib_gnegative,114,-0.30029921038235996,0.0011693674874429752,-0.2677639546314558,0.003974006753904753,-0.2046062389777369,0.0034048339520004714,tylvalosin_seed_amine_products_with_mole_predictions.csv
ginhib_gpositive,114,-0.38213976688642287,2.7221277064125998e-05,-0.35215072637724665,0.00012186773927290945,-0.28711807393465894,8.547415898506073e-05,tylvalosin_seed_amine_products_with_mole_predictions.csv
broad_spectrum,114,,,,,,,tylvalosin_seed_amine_products_with_mole_predictions.csv
