index	strain_name
1	Akkermansia muciniphila (NT5021)
2	Bacteroides caccae (NT5050)
3	Bacteroides fragilis (ET) (NT5033)
4	Bacteroides fragilis (NT) (NT5003)
5	Bacteroides ovatus (NT5054)
6	Bacteroides thetaiotaomicron (NT5004)
7	Bacteroides uniformis (NT5002)
8	Bacteroides vulgatus (NT5001)
9	Bacteroides xylanisolvens (NT5064)
10	Bifidobacterium adolescentis (NT5022)
11	Bifidobacterium longum (NT5028)
12	Bilophila wadsworthia (NT5036)
13	Blautia obeum (NT5069)
14	Clostridium bolteae (NT5026)
15	Clostridium difficile (NT5083)
16	Clostridium perfringens (NT5032)
17	Clostridium ramosum (NT5006)
18	Clostridium saccharolyticum (NT5037)
19	Collinsella aerofaciens (NT5073)
20	Coprococcus comes (NT5048)
21	Dorea formicigenerans (NT5076)
22	Eggerthella lenta (NT5024)
23	Escherichia coli ED1a (NT5078)
24	Escherichia coli IAI1 (NT5077)
25	Eubacterium eligens (NT5075)
26	Eubacterium rectale (NT5009)
27	Fusobacterium nucleatum (NT5025)
28	Lactobacillus paracasei (NT5042)
29	Odoribacter splanchnicus (NT5081)
30	Parabacteroides distasonis (NT5074)
31	Parabacteroides merdae (NT5071)
32	Prevotella copri (NT5019)
33	Roseburia hominis (NT5079)
34	Roseburia intestinalis (NT5011)
35	Ruminococcus bromii (NT5045)
36	Ruminococcus gnavus (NT5046)
37	Ruminococcus torques (NT5047)
38	Streptococcus parasanguinis (NT5072)
39	Streptococcus salivarius (NT5038)
40	Veillonella parvula (NT5017)
